"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"81049","7.8266129","0.0","0.12776919","0.0","AST1","1","1","17","-0.272","1.9402E-6","-0.487","7.0045E-6","-0.026","0.87354","false","false","YBL069W","2.0","1","0","0","0.74716249","false","0","YBL069W","0","0.0"
"81050","9.67741935","0.06332441","0.10333333","0.0","HSF1","5","5","20","0.104","0.034847","-0.084","0.42981","0.543","6.2254E-4","false","false","YGL073W","2.0","5","0","0","0.6786141","false","0","YGL073W","9976","0.25"
"81051","10.6733871","0.0","0.09369097","0.0","HSP26","1","1","21","-1.232","1.3135E-6","0.895","2.3868E-5","-0.447","3.3493E-11","false","false","YBR072W","5.0","1","0","0","0.6417264","false","0","YBR072W","0","0.0"
"81052","8.12096774","0.00806452","0.12313803","0.0","SFH1","2","2","18","0.252","2.6832E-5","-0.352","5.2576E-4","0.427","0.0047054","false","false","YLR321C","4.0","2","0","0","0.73626045","false","0","YLR321C","1032","0.5"
"81053","8.41532258","0.07083561","0.11883086","0.0","TAH18","3","3","20","0.113","0.12893","-0.191","0.54556","0.289","0.063048","false","false","YPR048W","2.66666667","3","0","0","0.72535842","false","0","YPR048W","19552","0.33333333"
"81054","7.87096774","0.19692135","0.12704918","0.0","GCR2","3","3","19","0.121","0.005054","-0.162","0.0077746","0.433","5.6535E-5","false","false","YNL199C","5.0","3","0","0","0.74551971","false","0","YNL199C","89866","0.33333333"
"81055","7.49193548","0.18002254","0.13347686","0.0","GCR1","7","7","18","-0.373","2.4947E-7","-0.207","0.046834","-0.53","5.2661E-6","false","false","YPL075W","2.42857143","7","0","0","0.75955795","false","0","YPL075W","90670","0.28571429"
"81056","2.0","0.0","0.5","0.0","OYE2","1","1","3","-0.565","2.6358E-8","0.078","0.098356","-0.671","3.6995E-11","false","false","YHR179W","3.0","1","0","0","0.66666667","false","0","YHR179W","0","0.0"
"81057","2.0","0.0","0.5","0.0","GLK1","1","1","3","-0.146","0.0093643","0.542","1.0508E-6","-0.221","2.0566E-4","false","false","YCL040W","3.0","1","0","0","0.66666667","false","0","YCL040W","0","0.0"
"81058","1.25","0.83333333","0.8","0.0","ACT1","3","3","2","-0.16","3.2175E-4","0.192","1.31E-4","-0.527","6.0582E-12","false","false","YFL039C","1.33333333","3","0","0","0.91666667","false","0","YFL039C","10","0.33333333"
