"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"81553","3025.31048951","pp","YEL015W (pp) YML064C","false","pp","YEL015W (pp) YML064C"
"81554","1476.0","pp","YNR050C (pp) YMR138W","false","pp","YNR050C (pp) YMR138W"
"81555","6283.85994006","pp","YJR022W (pp) YNR053C","false","pp","YJR022W (pp) YNR053C"
"81556","1220.5","pp","YJR022W (pp) YLR264W","false","pp","YJR022W (pp) YLR264W"
"81557","1220.5","pp","YJR022W (pp) YOR167C","false","pp","YJR022W (pp) YOR167C"
"81558","3050.14565435","pp","YJR022W (pp) YEL015W","false","pp","YJR022W (pp) YEL015W"
"81559","496.0","pp","YJR022W (pp) YNL050C","false","pp","YJR022W (pp) YNL050C"
"81560","1960.0","pp","YJR022W (pp) YNR050C","false","pp","YJR022W (pp) YNR050C"
"81561","248.5","pp","YER112W (pp) YOR167C","false","pp","YER112W (pp) YOR167C"
"81562","9.83333333","pd","YCL067C (pd) YFL026W","false","pd","YCL067C (pd) YFL026W"
"81563","9.83333333","pd","YCL067C (pd) YDR461W","false","pd","YCL067C (pd) YDR461W"
"81564","1447.5","pp","YCL067C (pp) YMR043W","false","pp","YCL067C (pp) YMR043W"
"81565","9.0","pd","YCL067C (pd) YIL015W","false","pd","YCL067C (pd) YIL015W"
"81566","988.0","pp","YCR084C (pp) YCL067C","false","pp","YCR084C (pp) YCL067C"
"81567","496.0","pp","YCR084C (pp) YBR112C","false","pp","YCR084C (pp) YBR112C"
"81568","496.0","pp","YIL061C (pp) YLR153C","false","pp","YIL061C (pp) YLR153C"
"81569","9902.71708292","pp","YIL061C (pp) YNL199C","false","pp","YIL061C (pp) YNL199C"
"81570","8486.71708292","pp","YIL061C (pp) YDL013W","false","pp","YIL061C (pp) YDL013W"
"81571","496.0","pp","YGR203W (pp) YIL061C","false","pp","YGR203W (pp) YIL061C"
"81572","5.0","pp","YJL013C (pp) YGL229C","false","pp","YJL013C (pp) YGL229C"
"81573","5.0","pp","YJL030W (pp) YGL229C","false","pp","YJL030W (pp) YGL229C"
"81574","7.0","pp","YGR014W (pp) YJL013C","false","pp","YGR014W (pp) YJL013C"
"81575","7.0","pp","YGR014W (pp) YJL030W","false","pp","YGR014W (pp) YJL030W"
"81576","8.0","pp","YPL211W (pp) YGR014W","false","pp","YPL211W (pp) YGR014W"
"81577","496.0","pp","YOL123W (pp) YGL044C","false","pp","YOL123W (pp) YGL044C"
"81578","496.0","pp","YFL017C (pp) YOR362C","false","pp","YFL017C (pp) YOR362C"
"81579","2758.08455433","pp","YFL017C (pp) YER102W","false","pp","YFL017C (pp) YER102W"
"81580","496.0","pp","YFL017C (pp) YOL059W","false","pp","YFL017C (pp) YOL059W"
"81581","1470.49481074","pp","YDR429C (pp) YFL017C","false","pp","YDR429C (pp) YFL017C"
"81582","496.0","pp","YMR146C (pp) YDR429C","false","pp","YMR146C (pp) YDR429C"
"81583","6.0","pp","YLR293C (pp) YGL097W","false","pp","YLR293C (pp) YGL097W"
"81584","4.0","pp","YBR118W (pp) YAL003W","false","pp","YBR118W (pp) YAL003W"
"81585","4.0","pp","YPR080W (pp) YAL003W","false","pp","YPR080W (pp) YAL003W"
"81586","4.0","pp","YLR249W (pp) YBR118W","false","pp","YLR249W (pp) YBR118W"
"81587","4.0","pp","YLR249W (pp) YPR080W","false","pp","YLR249W (pp) YPR080W"
"81588","6.0","pp","YGL097W (pp) YOR204W","false","pp","YGL097W (pp) YOR204W"
"81589","6.0","pp","YGR218W (pp) YGL097W","false","pp","YGR218W (pp) YGL097W"
"81590","988.0","pp","YGL122C (pp) YOL123W","false","pp","YGL122C (pp) YOL123W"
"81591","496.0","pp","YKR026C (pp) YGL122C","false","pp","YKR026C (pp) YGL122C"
